Boarding Gate,DDJB,CFFT,LWTT
A1,False,False,True
A2,False,False,True
A3,False,False,False
A4,False,False,False
A5,False,False,False
A6,False,False,False
A7,False,False,False
A8,False,False,False
A9,False,False,False
A10,True,False,False
A11,True,False,False
A12,True,False,False
A13,True,False,False
A14,False,False,False
A15,False,False,False
A16,False,False,False
A17,False,False,False
A18,False,False,False
A19,False,False,False
A20,True,False,True
A21,True,False,True
A22,True,False,True
B1,False,True,True
B2,False,True,True
B3,False,True,True
B4,False,False,True
B5,False,False,True
B6,False,False,True
B7,False,False,True
B8,False,False,True
B9,False,False,True
B10,True,False,True
B11,True,False,True
B12,True,False,True
B13,False,False,True
B14,False,False,True
B15,False,False,True
B16,False,False,True
B17,False,False,True
B18,False,False,True
B19,False,False,True
B20,False,False,True
B21,False,False,True
B22,False,False,True
C1,False,True,False
C2,False,True,False
C3,False,True,False
C4,False,True,False
C5,False,True,False
C6,False,True,False
C7,False,True,False
C8,False,True,False
C9,False,True,False
C10,False,True,False
C11,False,True,False
C12,False,True,False
C13,False,True,False
C14,False,True,True
C15,False,True,True
C16,False,True,True
C17,False,True,False
C18,False,True,False
C19,False,True,False
C20,False,True,False
C21,False,True,False
C22,False,True,False
